Country Name;Country Code;1998;2018
Aruba;ABW;1665100558.65922;
Afghanistan;AFG;;19362969582.3643
Angola;AGO;6506229607.29432;105750987618.63
Albania;ALB;2545967253.2416;15102500898.238
Andorra;AND;1211932397.81713;3236543909.34844
Arab World;ARB;591579002605.555;2774314967156.43
United Arab Emirates;ARE;75674336283.1858;414178942592.479
Argentina;ARG;298948000000;519871519807.795
Armenia;ARM;1893726437.26462;12433089919.0459
American Samoa;ASM;;636000000
Antigua and Barbuda;ATG;727860592.592593;1610574074.07407
Australia;AUS;398899138574.239;1433904348500.12
Austria;AUT;218259904401.956;455285818035.125
Azerbaijan;AZE;4446370371.15023;46939529411.7647
Burundi;BDI;893770806.077641;3036931818.18182
Belgium;BEL;258528339631.029;542761092103.469
Benin;BEN;2455092582.30927;10354274634.9108
Burkina Faso;BFA;2804902723.73145;14124775068.569
Bangladesh;BGD;49984559471.3656;274024958965.892
Bulgaria;BGR;14942172233.5833;65132951116.4756
Bahrain;BHR;6183776595.74468;37746196808.5106
Bahamas; The;6332360000;12150400000
Bosnia and Herzegovina;BIH;4116699437.4041;20161865419.4327
Belarus;BLR;15222012660.4232;59662495092.2654
Belize;BLZ;688992450;1871203164.08274
Bermuda;BMU;3130748000;
Bolivia;BOL;8497545598.08352;40287647756.8741
Brazil;BRA;863723411632.917;1868626087908.48
Barbados;BRB;2874459304.92716;5145000000
Brunei Darussalam;BRN;4051147227.53346;13567351175.0315
Bhutan;BTN;376955087.251575;2446674101.3737
Botswana;BWA;4790458837.17078;18616018903.4434
Central African Republic;CAF;967338348.658314;2219894701.95124
Canada;CAN;631813279406.808;1713341704877.01
Central Europe and the Baltics;CEB;447743168925.507;1632912822080.02
Switzerland;CHE;295044833770.175;705140354166.312
Channel Islands;CHI;5945677376.61477;
Chile;CHL;81577430181.4074;298231133532.749
China;CHN;1029043097554.08;13608151864637.9
Cote d'Ivoire;CIV;12612033728.8572;43007047821.7541
Cameroon;CMR;10612847429.35;38675205293.0462
