Country Name;Country Code;1998;2018
Aruba;ABW;87277;105845
Afghanistan;AFG;19737765;37172386
Angola;AGO;15359601;30809762
Albania;ALB;3128530;2866376
Andorra;AND;64142;77006
Arab World;ARB;270575803;419790588
United Arab Emirates;ARE;2813214;9630959
Argentina;ARG;36063459;44494502
Armenia;ARM;3108687;2951776
American Samoa;ASM;56171;55465
Antigua and Barbuda;ATG;73224;96286
Australia;AUS;18711000;24992369
Austria;AUT;7976789;8847037
Azerbaijan;AZE;7913000;9942334
Burundi;BDI;6185562;11175378
Belgium;BEL;10203008;11422068
Benin;BEN;6470265;11485048
Burkina Faso;BFA;10968724;19751535
Bangladesh;BGD;122682815;161356039
Bulgaria;BGR;8256786;7024216
Bahrain;BHR;613700;1569439
Bahamas; The;287358;381761
Bosnia and Herzegovina;BIH;3734337;3323929
Belarus;BLR;10069000;9485386
Belize;BLZ;230244;383071
Bermuda;BMU;60943;63968
Bolivia;BOL;8096761;11353142
Brazil;BRA;169785250;209469333
Barbados;BRB;269336;286641
Brunei Darussalam;BRN;319144;428962
Bhutan;BTN;564377;754394
Botswana;BWA;1575824;2254126
Central African Republic;CAF;3475492;4666377
Canada;CAN;30155173;37058856
Central Europe and the Baltics;CEB;109238340;102511922
Switzerland;CHE;7110001;8516543
Channel Islands;CHI;146498;170499
Chile;CHL;14977733;18729160
China;CHN;1241935000;1392730000
Cote d'Ivoire;CIV;15589414;25069229
Cameroon;CMR;14723768;25216237
Congo; Dem. Rep.;43827180;81398764
Congo; Rep.;2867280;5110702
Colombia;COL;38364309;49648685
Comoros;COM;515385;832322
Cabo Verde;CPV;412514;543767
Costa Rica;CRI;3803887;4999441
Caribbean small states;CSS;6423827;7358965
Cuba;CUB;11038692;11338138
Curacao;CUW;144472;159849
Cayman Islands;CYM;38329;64174
Cyprus;CYP;908702;1189265
Czech Republic;CZE;10294373;10625695
Germany;DEU;82047195;82927922
Djibouti;DJI;680463;958920
Dominica;DMA;70185;71625
Denmark;DNK;5304219;5797446
Dominican Republic;DOM;8214426;10627165
Algeria;DZA;30192754;42228429
East Asia & Pacific (excluding high income);EAP;1779799008;2081651801
Early-demographic dividend;EAR;2384215228;3249140605
East Asia & Pacific;EAS;2008705489;2328220870
Europe & Central Asia (excluding high income);ECA;392243961;417797257
Europe & Central Asia;ECS;860015493;918793590
Ecuador;ECU;12198449;17084357
Egypt; Arab Rep.;64892270;96442593
Euro area;EMU;319433981;341783171
Eritrea;ERI;2206432;
Spain;ESP;40223509;46723749
Estonia;EST;1386156;1320884
Ethiopia;ETH;62507724;109224559
European Union;EUU;486597004;513213363
Fragile and conflict affected situations;FCS;321010137;515215936
Finland;FIN;5153498;5518050
Fiji;FJI;800157;883483
France;FRA;60186288;66987244
Faroe Islands;FRO;46096;48497
Micronesia; Fed. Sts.;108480;111459
Gabon;GAB;1170061;2119275
United Kingdom;GBR;58487141;66488991
Georgia;GEO;4243607;3731000
Ghana;GHA;18357156;29767108
Gibraltar;GIB;29947;33718
Guinea;GIN;7860781;12414318
Gambia; The;1200526;2213894
Guinea-Bissau;GNB;1154371;1874309
Equatorial Guinea;GNQ;558492;1308974
Greece;GRC;10720509;10727668
Grenada;GRD;102021;111454
Greenland;GRL;56100;56025
Guatemala;GTM;11133501;17247807
Guam;GUM;152277;165768
Guyana;GUY;753778;779004
High income;HIC;1064403601;1210312147
Hong Kong SAR; China;6489300;7391700
Honduras;HND;6220406;9587522
Heavily indebted poor countries (HIPC);HPC;446608340;780234406
Croatia;HRV;4532135;4089400
Haiti;HTI;8174680;11123176
Hungary;HUN;10266570;9768785
IBRD only;IBD;3886855288;4772284113
IDA & IBRD total;IBT;4919850879;6412522234
IDA total;IDA;1032995591;1640238121
IDA blend;IDB;348989354;555830605
Indonesia;IDN;205724592;267663435
IDA only;IDX;684006237;1084407516
Isle of Man;IMN;74943;84077
India;IND;1019483581;1352617328
Not classified;INX;;
Ireland;IRL;3712696;4853506
Iran; Islamic Rep.;63136312;80673951
Iraq;IRQ;22114324;38433600
Iceland;ISL;274047;353574
Israel;ISR;5971000;8883800
Italy;ITA;56906744;60431283
Jamaica;JAM;2608873;2934855
Jordan;JOR;4943975;9956011
Japan;JPN;126400000;126529100
Kazakhstan;KAZ;15071300;18276499
Kenya;KEN;30250488;51393010
Kyrgyz Republic;KGZ;4769000;6315800
Cambodia;KHM;11600508;16249798
Kiribati;KIR;81556;115847
St. Kitts and Nevis;KNA;43221;52441
Korea; Rep.;45953580;51466201
Kuwait;KWT;1831119;4137309
Latin America & Caribbean (excluding high income);LAC;478398772;609013934
Lao PDR;LAO;5144602;7061507
Lebanon;LBN;3693520;6848925
Liberia;LBR;2517481;4818977
Libya;LBY;5196780;6678567
St. Lucia;LCA;153021;181889
Latin America & Caribbean;LCN;505774348;641357515
Least developed countries: UN classification;LDC;625342098;1009662578
Low income;LIC;415959410;705417321
Liechtenstein;LIE;32311;37910
Sri Lanka;LKA;18564599;21670000
Lower middle income;LMC;2199992975;3022905169
Low & middle income;LMY;4890406949;6383958209
Lesotho;LSO;1997516;2108132
Late-demographic dividend;LTE;2013289641;2288665963
Lithuania;LTU;3549331;2789533
Luxembourg;LUX;424700;607728
Latvia;LVA;2410019;1926542
Macao SAR; China;401352;622585
St. Martin (French part);MAF;27392;37264
Morocco;MAR;28110443;36029138
Monaco;MCO;31556;38682
Moldova;MDA;3652732;3545883
Madagascar;MDG;14808791;26262368
Maldives;MDV;268455;515696
Middle East & North Africa;MEA;303641740;448912859
Mexico;MEX;96056321;126190788
Marshall Islands;MHL;50356;58413
Middle income;MIC;4474447539;5678540888
North Macedonia;MKD;2012057;2082958
Mali;MLI;10360561;19077690
Malta;MLT;385287;483530
Myanmar;MMR;45611220;53708395
Middle East & North Africa (excluding high income);MNA;269440690;382896715
Montenegro;MNE;607662;622345
Mongolia;MNG;2355664;3170208
Northern Mariana Islands;MNP;52997;56882
Mozambique;MOZ;16813949;29495962
Mauritania;MRT;2496216;4403319
Mauritius;MUS;1160421;1265303
Malawi;MWI;10552338;18143315
Malaysia;MYS;22114654;31528585
North America;NAC;306070116;364290258
Namibia;NAM;1731639;2448255
New Caledonia;NCL;205279;284060
Niger;NER;10545716;22442948
Nigeria;NGA;116319759;195874740
Nicaragua;NIC;4910647;6465513
Netherlands;NLD;15707209;17231017
Norway;NOR;4431464;5314336
Nepal;NPL;23057883;28087871
Nauru;NRU;10565;12704
New Zealand;NZL;3815000;4885500
OECD members;OED;1141378668;1303529456
Oman;OMN;2251864;4829483
Other small states;OSS;20163885;30758989
Pakistan;PAK;134843233;212215030
Panama;PAN;2912316;4176873
Peru;PER;25658062;31989256
Philippines;PHL;74672014;106651922
Palau;PLW;18410;17907
Papua New Guinea;PNG;5581762;8606316
Poland;POL;38663481;37978548
Pre-demographic dividend;PRE;521617674;919485393
Puerto Rico;PRI;3781101;3195153
Korea; Dem. People’s Rep.;22335267;25429985
Portugal;PRT;10160196;10281762
Paraguay;PRY;5107839;6956071
West Bank and Gaza;PSE;2776568;4569087
Pacific island small states;PSS;1917135;2457367
Post-demographic dividend;PST;1010590288;1109997273
French Polynesia;PYF;231570;277679
Qatar;QAT;551562;2781677
Romania;ROU;22507344;19473936
Russian Federation;RUS;147670692;144478050
Rwanda;RWA;6962802;12301939
South Asia;SAS;1339202708;1814388744
Saudi Arabia;SAU;19783304;33699947
Sudan;SDN;26015521;41801533
Senegal;SEN;9347774;15854360
Singapore;SGP;3927213;5638676
Solomon Islands;SLB;390693;652858
Sierra Leone;SLE;4381483;7650154
El Salvador;SLV;5797765;6420744
San Marino;SMR;26840;33785
Somalia;SOM;8235064;15008154
Serbia;SRB;7567745;6982084
Sub-Saharan Africa (excluding high income);SSA;631321810;1078209758
South Sudan;SSD;5661942;10975920
Sub-Saharan Africa;SSF;631400656;1078306520
Small states;SST;28504847;40575321
Sao Tome and Principe;STP;137848;211028
Suriname;SUR;459831;575991
Slovak Republic;SVK;5390516;5447011
Slovenia;SVN;1981629;2067372
Sweden;SWE;8850974;10183175
Eswatini;SWZ;979918;1136191
Sint Maarten (Dutch part);SXM;31240;40654
Seychelles;SYC;78846;96762
Syrian Arab Republic;SYR;15599591;16906283
Turks and Caicos Islands;TCA;18232;37665
Chad;TCD;7770048;15477751
East Asia & Pacific (IDA & IBRD countries);TEA;1757224494;2056064424
Europe & Central Asia (IDA & IBRD countries);TEC;435439577;459865205
Togo;TGO;4632446;7889094
Thailand;THA;61585103;69428524
Tajikistan;TJK;6027388;9100837
Turkmenistan;TKM;4413479;5850908
Latin America & the Caribbean (IDA & IBRD countries);TLA;489919322;625569713
Timor-Leste;TLS;866530;1267972
Middle East & North Africa (IDA & IBRD countries);TMN;266664122;378327628
Tonga;TON;97032;103197
South Asia (IDA & IBRD);TSA;1339202708;1814388744
Sub-Saharan Africa (IDA & IBRD countries);TSS;631400656;1078306520
Trinidad and Tobago;TTO;1261695;1389858
Tunisia;TUN;9509857;11565204
Turkey;TUR;61329676;82319724
Tuvalu;TUV;9332;11508
Tanzania;TZA;31924196;56318348
Uganda;UGA;22290780;42723139
Ukraine;UKR;50143939;44622516
Upper middle income;UMC;2274454564;2655635719
Uruguay;URY;3291053;3449299
United States;USA;275854000;327167434
Uzbekistan;UZB;24051000;32955400
St. Vincent and the Grenadines;VCT;107801;110210
Venezuela; RB;22837743;29390409
British Virgin Islands;VGB;19821;29802
Virgin Islands (U.S.);VIR;108537;106977
Vietnam;VNM;78115710;95540395
Vanuatu;VUT;177987;292680
World;WLD;5954810550;7594270356
Samoa;WSM;172839;196130
Kosovo;XKX;1966000;1845300
Yemen; Rep.;15975668;27834821
South Africa;ZAF;43682260;57779622
Zambia;ZMB;9866476;17351822
Zimbabwe;ZWE;11747072;14439018
