iter	MultiClass
0	1.715465605
1	1.656837694
2	1.607490911
3	1.565735855
4	1.528548956
5	1.498007199
6	1.473314284
7	1.44823187
8	1.425427563
9	1.407430658
10	1.38977522
11	1.373676778
12	1.359359146
13	1.346041863
14	1.331767079
15	1.320061422
16	1.309843436
17	1.299194099
18	1.289322074
19	1.280687668
20	1.272453781
21	1.263889289
22	1.256908992
23	1.249317638
24	1.242542397
25	1.235122975
26	1.228747128
27	1.222984385
28	1.216088052
29	1.20953283
30	1.204143152
31	1.199338132
32	1.194607355
33	1.191230525
34	1.18778473
35	1.183427382
36	1.178780043
37	1.174522195
38	1.171114528
39	1.167921381
40	1.164813183
41	1.159950389
42	1.156861427
43	1.153661851
44	1.150262535
45	1.146748518
46	1.143516099
47	1.140295946
48	1.137137836
49	1.134274484
50	1.131893671
51	1.128456391
52	1.12522868
53	1.123076952
54	1.119431876
55	1.116600937
56	1.114817681
57	1.112560001
58	1.110687596
59	1.108383762
60	1.10611154
61	1.102954696
62	1.100195287
63	1.097518045
64	1.094614133
65	1.093241247
66	1.090115276
67	1.087990114
68	1.085983404
69	1.083420792
70	1.081042675
71	1.078764027
72	1.077331431
73	1.074878409
74	1.072177716
75	1.069460222
76	1.067257005
77	1.065114486
78	1.062805833
79	1.061265477
80	1.058958895
81	1.057047527
82	1.055237892
83	1.053231444
84	1.05078358
85	1.048836478
86	1.047187478
87	1.04444488
88	1.042925514
89	1.041014485
90	1.03878938
91	1.036872278
92	1.034703483
93	1.03278202
94	1.030127299
95	1.02816777
96	1.026765017
97	1.025324684
98	1.024144369
99	1.022406444
100	1.020770097
101	1.018813425
102	1.016998238
103	1.015137891
104	1.013120405
105	1.011802616
106	1.010318122
107	1.008413776
108	1.00671587
109	1.005411929
110	1.004315242
111	1.003249694
112	1.002031226
113	1.000230753
114	0.9982209725
115	0.9964393865
116	0.994457623
117	0.991983788
118	0.990426642
119	0.9886513587
120	0.986287097
121	0.9849168009
122	0.9828849715
123	0.980390643
124	0.9784829568
125	0.9768834324
126	0.97559955
127	0.9738406687
128	0.9725894234
129	0.9714286218
130	0.9698725776
131	0.968507839
132	0.9670310691
133	0.9648841554
134	0.9629597724
135	0.961846748
136	0.9604565412
137	0.9583314764
138	0.9566598417
139	0.9554832151
140	0.9547383465
141	0.9533811015
142	0.9518551153
143	0.9498124146
144	0.9484191125
145	0.9470493556
146	0.9453325476
147	0.9441035172
148	0.9430105934
149	0.9410688055
150	0.9398131347
151	0.9384696825
152	0.936798795
153	0.9353395755
154	0.9338920247
155	0.9321401374
156	0.9309301523
157	0.9297426382
158	0.9285051044
159	0.9274826203
160	0.9265042282
161	0.9251462733
162	0.923845981
163	0.9222576182
164	0.921469366
165	0.9202554583
166	0.9184738961
167	0.9167344475
168	0.9147979789
169	0.9131168424
170	0.9122597601
171	0.9109878738
172	0.9101001955
173	0.9091678975
174	0.9078161932
175	0.9066689783
176	0.9057865233
177	0.9045525506
178	0.9036103909
179	0.9020175681
180	0.9002581637
181	0.8991435588
182	0.8973954519
183	0.8958188386
184	0.8949428526
185	0.8934463194
186	0.8915966882
187	0.8904104703
188	0.8893516857
189	0.888064256
190	0.8865170027
191	0.8850371272
192	0.8839648026
193	0.8828484849
194	0.8819661358
195	0.8806157041
196	0.8790264322
197	0.8772322611
198	0.8762847742
199	0.8751232172
200	0.8742471396
201	0.8730693821
202	0.8719763578
203	0.8711536622
204	0.8691421038
205	0.8681383067
206	0.8673704326
207	0.8661020595
208	0.8652384646
209	0.8635121241
210	0.8621148385
211	0.8613226101
212	0.8603599731
213	0.8587688491
214	0.8577154949
215	0.8563514312
216	0.8550361573
217	0.853463494
218	0.8515139233
219	0.8509021348
220	0.8499356313
221	0.8485516813
222	0.8473301103
223	0.8460168651
224	0.8449908862
225	0.8441642574
226	0.8434219168
227	0.8416023826
228	0.8403556437
229	0.8394982517
230	0.8381157457
231	0.8368369134
232	0.8356292628
233	0.8346238657
234	0.8329979228
235	0.8323825514
236	0.8312997015
237	0.8300883
238	0.8291537092
239	0.8281145446
240	0.8270831103
241	0.8254899401
242	0.8239782524
243	0.8221010761
244	0.8211909602
245	0.8201001426
246	0.8190356795
247	0.8180338422
248	0.8167130223
249	0.8150035755
