iter	Passed	Remaining
0	239	59581
1	485	60232
2	737	60722
3	974	59901
4	1215	59566
5	1447	58878
6	1678	58253
7	1935	58542
8	2168	58079
9	2416	57989
10	2650	57597
11	2872	56970
12	3101	56544
13	3336	56249
14	3578	56068
15	3807	55681
16	4045	55445
17	4295	55363
18	4542	55228
19	4774	54910
20	5021	54762
21	5259	54508
22	5493	54214
23	5746	54109
24	5993	53938
25	6223	53616
26	6446	53242
27	6690	53044
28	6932	52828
29	7180	52654
30	7413	52372
31	7657	52165
32	7897	51929
33	8147	51758
34	8386	51520
35	8630	51302
36	8871	51069
37	9097	50752
38	9325	50455
39	9567	50230
40	9798	49950
41	10038	49712
42	10291	49542
43	10546	49376
44	10797	49187
45	11037	48949
46	11285	48742
47	11501	48401
48	11729	48114
49	11961	47845
50	12197	47594
51	12433	47342
52	12662	47065
53	12890	46786
54	13110	46483
55	13340	46214
56	13570	45949
57	13803	45693
58	14026	45407
59	14241	45099
60	14465	44819
61	14703	44585
62	14936	44335
63	15168	44083
64	15406	43848
65	15624	43557
66	15859	43316
67	16092	43072
68	16321	42813
69	16542	42538
70	16744	42215
71	16902	41786
72	17035	41305
73	17221	40958
74	17449	40714
75	17676	40470
76	17905	40229
77	18133	39986
78	18361	39745
79	18595	39515
80	18833	39294
81	19062	39054
82	19282	38797
83	19520	38575
84	19746	38331
85	19972	38087
86	20203	37851
87	20429	37607
88	20651	37358
89	20872	37106
90	21097	36862
91	21322	36619
92	21553	36386
93	21777	36140
94	22008	35908
95	22234	35668
96	22463	35431
97	22688	35190
98	22915	34951
99	23141	34712
100	23367	34472
101	23584	34220
102	23795	33960
103	24025	33728
104	24264	33508
105	24485	33263
106	24704	33016
107	24935	32785
108	25157	32543
109	25384	32307
110	25617	32079
111	25837	31835
112	26060	31595
113	26288	31361
114	26511	31122
115	26736	30885
116	26962	30649
117	27186	30412
118	27342	30099
119	27507	29799
120	27683	29513
121	27910	29283
122	28136	29051
123	28368	28826
124	28601	28601
125	28834	28377
126	29057	28142
127	29278	27906
128	29502	27673
129	29735	27448
130	29962	27217
131	30185	26984
132	30412	26753
133	30631	26516
134	30863	26291
135	31100	26069
136	31330	25841
137	31567	25620
138	31793	25389
139	32031	25167
140	32263	24941
141	32499	24718
142	32727	24488
143	32949	24254
144	33162	24014
145	33371	23771
146	33600	23543
147	33818	23307
148	34028	23066
149	34252	22835
150	34468	22598
151	34678	22358
152	34900	22126
153	35133	21901
154	35363	21674
155	35583	21441
156	35792	21202
157	36014	20970
158	36233	20737
159	36458	20507
160	36674	20273
161	36895	20042
162	37109	19806
163	37330	19575
164	37553	19345
165	37745	19100
166	37881	18827
167	38024	18559
168	38244	18330
169	38469	18103
170	38694	17876
171	38918	17649
172	39143	17422
173	39366	17194
174	39593	16968
175	39821	16743
176	40046	16516
177	40277	16291
178	40498	16063
179	40729	15839
180	40956	15613
181	41178	15385
182	41411	15161
183	41635	14934
184	41863	14708
185	42095	14484
186	42314	14255
187	42537	14028
188	42763	13801
189	42981	13573
190	43211	13348
191	43433	13120
192	43652	12892
193	43880	12666
194	44099	12438
195	44321	12210
196	44554	11986
197	44776	11759
198	45005	11533
199	45227	11306
200	45449	11079
201	45667	10851
202	45893	10625
203	46114	10398
204	46339	10172
205	46562	9945
206	46779	9717
207	47004	9491
208	47227	9264
209	47453	9038
210	47674	8811
211	47897	8585
212	48116	8358
213	48251	8116
214	48384	7876
215	48561	7643
216	48784	7418
217	49016	7195
218	49246	6970
219	49479	6747
220	49701	6521
221	49924	6296
222	50151	6072
223	50373	5846
224	50596	5621
225	50814	5396
226	51038	5171
227	51263	4946
228	51490	4721
229	51708	4496
230	51928	4271
231	52154	4046
232	52381	3821
233	52609	3597
234	52846	3373
235	53071	3148
236	53304	2923
237	53537	2699
238	53760	2474
239	53991	2249
240	54228	2025
241	54456	1800
242	54684	1575
243	54909	1350
244	55139	1125
245	55372	900
246	55606	675
247	55838	450
248	56067	225
249	56292	0
